recording_id	audio_file_name	task	trial_id	item_type	stimulus_text	correct_response	foil_type	recording_notes
rec_audio_decision_audio_v2_001	rec_audio_decision_audio_v2_001.wav	audio_pv_decision	audio_v2_001	real	break off	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_002	rec_audio_decision_audio_v2_002.wav	audio_pv_decision	audio_v2_002	real	hand over	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_003	rec_audio_decision_audio_v2_003.wav	audio_pv_decision	audio_v2_003	real	give out	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_004	rec_audio_decision_audio_v2_004.wav	audio_pv_decision	audio_v2_004	real	put in	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_005	rec_audio_decision_audio_v2_005.wav	audio_pv_decision	audio_v2_005	real	take in	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_006	rec_audio_decision_audio_v2_006.wav	audio_pv_decision	audio_v2_006	real	sit back	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_007	rec_audio_decision_audio_v2_007.wav	audio_pv_decision	audio_v2_007	real	hold back	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_008	rec_audio_decision_audio_v2_008.wav	audio_pv_decision	audio_v2_008	real	move up	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_009	rec_audio_decision_audio_v2_009.wav	audio_pv_decision	audio_v2_009	real	get on	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_010	rec_audio_decision_audio_v2_010.wav	audio_pv_decision	audio_v2_010	real	come along	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_011	rec_audio_decision_audio_v2_011.wav	audio_pv_decision	audio_v2_011	real	stand out	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_012	rec_audio_decision_audio_v2_012.wav	audio_pv_decision	audio_v2_012	real	pull back	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_013	rec_audio_decision_audio_v2_013.wav	audio_pv_decision	audio_v2_013	real	run out	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_014	rec_audio_decision_audio_v2_014.wav	audio_pv_decision	audio_v2_014	real	turn over	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_015	rec_audio_decision_audio_v2_015.wav	audio_pv_decision	audio_v2_015	real	put on	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_016	rec_audio_decision_audio_v2_016.wav	audio_pv_decision	audio_v2_016	real	take back	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_017	rec_audio_decision_audio_v2_017.wav	audio_pv_decision	audio_v2_017	real	make out	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_018	rec_audio_decision_audio_v2_018.wav	audio_pv_decision	audio_v2_018	real	pay off	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_019	rec_audio_decision_audio_v2_019.wav	audio_pv_decision	audio_v2_019	real	get off	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_020	rec_audio_decision_audio_v2_020.wav	audio_pv_decision	audio_v2_020	real	turn up	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_021	rec_audio_decision_audio_v2_021.wav	audio_pv_decision	audio_v2_021	real	get down	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_022	rec_audio_decision_audio_v2_022.wav	audio_pv_decision	audio_v2_022	real	cut off	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_023	rec_audio_decision_audio_v2_023.wav	audio_pv_decision	audio_v2_023	real	bring in	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_024	rec_audio_decision_audio_v2_024.wav	audio_pv_decision	audio_v2_024	real	put out	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_025	rec_audio_decision_audio_v2_025.wav	audio_pv_decision	audio_v2_025	real	clean up	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_026	rec_audio_decision_audio_v2_026.wav	audio_pv_decision	audio_v2_026	real	set out	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_027	rec_audio_decision_audio_v2_027.wav	audio_pv_decision	audio_v2_027	real	break down	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_028	rec_audio_decision_audio_v2_028.wav	audio_pv_decision	audio_v2_028	real	reach out	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_029	rec_audio_decision_audio_v2_029.wav	audio_pv_decision	audio_v2_029	real	keep up	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_030	rec_audio_decision_audio_v2_030.wav	audio_pv_decision	audio_v2_030	real	put up	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_031	rec_audio_decision_audio_v2_031.wav	audio_pv_decision	audio_v2_031	real	turn around	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_032	rec_audio_decision_audio_v2_032.wav	audio_pv_decision	audio_v2_032	real	back up	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_033	rec_audio_decision_audio_v2_033.wav	audio_pv_decision	audio_v2_033	real	look out	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_034	rec_audio_decision_audio_v2_034.wav	audio_pv_decision	audio_v2_034	real	take out	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_035	rec_audio_decision_audio_v2_035.wav	audio_pv_decision	audio_v2_035	real	look back	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_036	rec_audio_decision_audio_v2_036.wav	audio_pv_decision	audio_v2_036	real	go up	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_037	rec_audio_decision_audio_v2_037.wav	audio_pv_decision	audio_v2_037	real	go down	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_038	rec_audio_decision_audio_v2_038.wav	audio_pv_decision	audio_v2_038	real	come on	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_039	rec_audio_decision_audio_v2_039.wav	audio_pv_decision	audio_v2_039	real	come in	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_040	rec_audio_decision_audio_v2_040.wav	audio_pv_decision	audio_v2_040	real	come out	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_041	rec_audio_decision_audio_v2_041.wav	audio_pv_decision	audio_v2_041	real	bring about	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_042	rec_audio_decision_audio_v2_042.wav	audio_pv_decision	audio_v2_042	real	carry out	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_043	rec_audio_decision_audio_v2_043.wav	audio_pv_decision	audio_v2_043	real	rule out	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_044	rec_audio_decision_audio_v2_044.wav	audio_pv_decision	audio_v2_044	real	point out	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_045	rec_audio_decision_audio_v2_045.wav	audio_pv_decision	audio_v2_045	real	sum up	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_046	rec_audio_decision_audio_v2_046.wav	audio_pv_decision	audio_v2_046	real	follow up	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_047	rec_audio_decision_audio_v2_047.wav	audio_pv_decision	audio_v2_047	real	lay out	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_048	rec_audio_decision_audio_v2_048.wav	audio_pv_decision	audio_v2_048	real	work out	yes	target_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_049	rec_audio_decision_audio_v2_049.wav	audio_pv_decision	audio_v2_049	foil	explain up	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_050	rec_audio_decision_audio_v2_050.wav	audio_pv_decision	audio_v2_050	foil	describe off	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_051	rec_audio_decision_audio_v2_051.wav	audio_pv_decision	audio_v2_051	foil	mention down	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_052	rec_audio_decision_audio_v2_052.wav	audio_pv_decision	audio_v2_052	foil	require out	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_053	rec_audio_decision_audio_v2_053.wav	audio_pv_decision	audio_v2_053	foil	include back	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_054	rec_audio_decision_audio_v2_054.wav	audio_pv_decision	audio_v2_054	foil	compare up	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_055	rec_audio_decision_audio_v2_055.wav	audio_pv_decision	audio_v2_055	foil	suggest over	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_056	rec_audio_decision_audio_v2_056.wav	audio_pv_decision	audio_v2_056	foil	observe around	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_057	rec_audio_decision_audio_v2_057.wav	audio_pv_decision	audio_v2_057	foil	prefer down	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_058	rec_audio_decision_audio_v2_058.wav	audio_pv_decision	audio_v2_058	foil	accept off	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_059	rec_audio_decision_audio_v2_059.wav	audio_pv_decision	audio_v2_059	foil	report up	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_060	rec_audio_decision_audio_v2_060.wav	audio_pv_decision	audio_v2_060	foil	claim out	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_061	rec_audio_decision_audio_v2_061.wav	audio_pv_decision	audio_v2_061	foil	argue back	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_062	rec_audio_decision_audio_v2_062.wav	audio_pv_decision	audio_v2_062	foil	notice through	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_063	rec_audio_decision_audio_v2_063.wav	audio_pv_decision	audio_v2_063	foil	prepare on	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_064	rec_audio_decision_audio_v2_064.wav	audio_pv_decision	audio_v2_064	foil	measure back	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_065	rec_audio_decision_audio_v2_065.wav	audio_pv_decision	audio_v2_065	foil	design off	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_066	rec_audio_decision_audio_v2_066.wav	audio_pv_decision	audio_v2_066	foil	choose down	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_067	rec_audio_decision_audio_v2_067.wav	audio_pv_decision	audio_v2_067	foil	define out	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_068	rec_audio_decision_audio_v2_068.wav	audio_pv_decision	audio_v2_068	foil	reduce on	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_069	rec_audio_decision_audio_v2_069.wav	audio_pv_decision	audio_v2_069	foil	increase back	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_070	rec_audio_decision_audio_v2_070.wav	audio_pv_decision	audio_v2_070	foil	examine up	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_071	rec_audio_decision_audio_v2_071.wav	audio_pv_decision	audio_v2_071	foil	identify off	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_072	rec_audio_decision_audio_v2_072.wav	audio_pv_decision	audio_v2_072	foil	estimate around	no	pseudo_particle_non_pv	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_073	rec_audio_decision_audio_v2_073.wav	audio_pv_decision	audio_v2_073	foil	walk across	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_074	rec_audio_decision_audio_v2_074.wav	audio_pv_decision	audio_v2_074	foil	sleep outside	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_075	rec_audio_decision_audio_v2_075.wav	audio_pv_decision	audio_v2_075	foil	wait inside	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_076	rec_audio_decision_audio_v2_076.wav	audio_pv_decision	audio_v2_076	foil	travel beyond	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_077	rec_audio_decision_audio_v2_077.wav	audio_pv_decision	audio_v2_077	foil	stand below	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_078	rec_audio_decision_audio_v2_078.wav	audio_pv_decision	audio_v2_078	foil	sit near	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_079	rec_audio_decision_audio_v2_079.wav	audio_pv_decision	audio_v2_079	foil	drive past	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_080	rec_audio_decision_audio_v2_080.wav	audio_pv_decision	audio_v2_080	foil	lean beside	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_081	rec_audio_decision_audio_v2_081.wav	audio_pv_decision	audio_v2_081	foil	swim across	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_082	rec_audio_decision_audio_v2_082.wav	audio_pv_decision	audio_v2_082	foil	crawl under	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_083	rec_audio_decision_audio_v2_083.wav	audio_pv_decision	audio_v2_083	foil	pause before	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_084	rec_audio_decision_audio_v2_084.wav	audio_pv_decision	audio_v2_084	foil	arrive after	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_085	rec_audio_decision_audio_v2_085.wav	audio_pv_decision	audio_v2_085	foil	stay near	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_086	rec_audio_decision_audio_v2_086.wav	audio_pv_decision	audio_v2_086	foil	live beside	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_087	rec_audio_decision_audio_v2_087.wav	audio_pv_decision	audio_v2_087	foil	kneel beside	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_088	rec_audio_decision_audio_v2_088.wav	audio_pv_decision	audio_v2_088	foil	fly above	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_089	rec_audio_decision_audio_v2_089.wav	audio_pv_decision	audio_v2_089	foil	park outside	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_090	rec_audio_decision_audio_v2_090.wav	audio_pv_decision	audio_v2_090	foil	rest inside	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_091	rec_audio_decision_audio_v2_091.wav	audio_pv_decision	audio_v2_091	foil	turn left	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_092	rec_audio_decision_audio_v2_092.wav	audio_pv_decision	audio_v2_092	foil	look north	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_093	rec_audio_decision_audio_v2_093.wav	audio_pv_decision	audio_v2_093	foil	step sideways	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_094	rec_audio_decision_audio_v2_094.wav	audio_pv_decision	audio_v2_094	foil	move sideways	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_095	rec_audio_decision_audio_v2_095.wav	audio_pv_decision	audio_v2_095	foil	wait outside	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
rec_audio_decision_audio_v2_096	rec_audio_decision_audio_v2_096.wav	audio_pv_decision	audio_v2_096	foil	walk nearby	no	natural_free_combination	Record as an isolated two-word stimulus; no carrier phrase; neutral stress.
